Date,Open,High,Low,Close,Volume,Adj Close
19-08-2004,100.00,104.06,95.96,100.34,22351900,100.34
20-08-2004,101.01,109.08,100.50,108.31,11428600,108.31
23-08-2004,110.75,113.48,109.05,109.40,9137200,109.40
24-08-2004,111.24,111.60,103.57,104.87,7631300,104.87
25-08-2004,104.96,108.00,103.88,106.00,4598900,106.00
26-08-2004,104.95,107.95,104.66,107.91,3551000,107.91
27-08-2004,108.10,108.62,105.69,106.15,3109000,106.15
30-08-2004,105.28,105.49,102.01,102.01,2601000,102.01
31-08-2004,102.30,103.71,102.16,102.37,2461400,102.37
01-09-2004,102.70,102.97,99.67,100.25,4573700,100.25
02-09-2004,99.19,102.37,98.94,101.51,7566900,101.51
03-09-2004,100.95,101.74,99.32,100.01,2578800,100.01
07-09-2004,101.01,102.00,99.61,101.58,2926700,101.58
08-09-2004,100.74,103.03,100.50,102.30,2495300,102.30
09-09-2004,102.53,102.71,101.00,102.31,2032900,102.31
10-09-2004,101.60,106.56,101.30,105.33,4353800,105.33
13-09-2004,106.63,108.41,106.46,107.50,3926000,107.50
14-09-2004,107.45,112.00,106.79,111.49,5419900,111.49
15-09-2004,110.56,114.23,110.20,112.00,5361900,112.00
16-09-2004,112.34,115.80,111.65,113.97,4637800,113.97
17-09-2004,114.42,117.49,113.55,117.49,4741000,117.49
20-09-2004,116.95,121.60,116.77,119.36,5319700,119.36
21-09-2004,119.81,120.42,117.51,117.84,3618000,117.84
22-09-2004,117.40,119.67,116.81,118.38,3794400,118.38
23-09-2004,118.84,122.63,117.02,120.82,4272100,120.82
24-09-2004,120.94,124.10,119.76,119.83,4566300,119.83
27-09-2004,119.56,120.88,117.80,118.26,3536600,118.26
28-09-2004,121.30,127.40,120.21,126.86,8473000,126.86
29-09-2004,126.70,135.02,126.23,131.08,15273500,131.08
30-09-2004,129.90,132.30,129.00,129.60,6885900,129.60
01-10-2004,130.80,134.24,128.90,132.58,7570000,132.58
04-10-2004,135.25,136.87,134.03,135.06,6517900,135.06
05-10-2004,134.66,138.53,132.24,138.37,7494100,138.37
06-10-2004,137.55,138.45,136.00,137.08,6697400,137.08
07-10-2004,136.92,139.88,136.55,138.85,7064600,138.85
08-10-2004,138.72,139.68,137.02,137.73,5540300,137.73
11-10-2004,137.00,138.86,133.85,135.26,5241300,135.26
12-10-2004,134.44,137.61,133.40,137.40,5838600,137.40
13-10-2004,143.32,143.55,140.08,140.90,9893000,140.90
14-10-2004,141.01,142.38,138.56,142.00,5226300,142.00
15-10-2004,144.93,145.50,141.95,144.11,6604000,144.11
18-10-2004,143.20,149.20,141.21,149.16,7025200,149.16
19-10-2004,150.50,152.40,147.35,147.94,9064000,147.94
20-10-2004,148.03,148.99,139.60,140.49,11372700,140.49
21-10-2004,144.40,150.13,141.62,149.38,14589500,149.38
22-10-2004,170.54,180.17,164.08,172.43,36891900,172.43
25-10-2004,176.40,194.43,172.55,187.40,32764200,187.40
26-10-2004,186.34,192.64,180.00,181.80,22307100,181.80
27-10-2004,182.72,189.52,181.77,185.97,13356500,185.97
28-10-2004,186.68,194.39,185.60,193.30,14846800,193.30
29-10-2004,198.89,199.95,190.60,190.64,21162500,190.64
01-11-2004,193.55,197.67,191.27,196.03,12224900,196.03
02-11-2004,198.78,199.25,193.34,194.87,11346300,194.87
03-11-2004,198.18,201.60,190.75,191.67,13888700,191.67
04-11-2004,188.44,190.40,183.35,184.70,14409600,184.70
05-11-2004,181.98,182.30,168.55,169.35,19833100,169.35
08-11-2004,170.93,175.44,169.40,172.55,11191800,172.55
09-11-2004,174.10,175.20,165.27,168.70,11064200,168.70
10-11-2004,170.67,172.52,166.33,167.86,10644000,167.86
11-11-2004,169.13,183.75,167.57,183.02,14985500,183.02
12-11-2004,185.23,189.80,177.40,182.00,16746100,182.00
15-11-2004,180.45,188.32,178.75,184.87,11901500,184.87
16-11-2004,177.50,179.47,170.83,172.54,20917400,172.54
17-11-2004,169.02,177.50,169.00,172.50,18132900,172.50
18-11-2004,170.29,174.42,165.73,167.54,16629600,167.54
19-11-2004,169.10,169.98,166.52,169.40,8769300,169.40
22-11-2004,164.47,169.50,161.31,165.10,12368200,165.10
23-11-2004,167.97,170.83,166.50,167.52,12413300,167.52
24-11-2004,174.82,177.21,172.51,174.76,15281000,174.76
26-11-2004,175.80,180.03,175.32,179.39,6480100,179.39
29-11-2004,180.36,182.95,177.51,181.05,10666600,181.05
30-11-2004,180.71,183.00,180.25,181.98,7700000,181.98
01-12-2004,181.95,182.50,179.55,179.96,7864100,179.96
02-12-2004,179.90,181.51,178.55,179.40,6260900,179.40
03-12-2004,179.95,181.06,177.60,180.40,5869200,180.40
06-12-2004,179.13,180.70,176.02,176.29,6254000,176.29
07-12-2004,176.00,176.20,170.55,171.43,6870900,171.43
08-12-2004,170.35,173.68,168.73,169.98,7541800,169.98
09-12-2004,170.25,173.50,168.47,173.43,7654000,173.43
10-12-2004,173.43,174.88,171.29,171.65,4317200,171.65
13-12-2004,172.17,173.18,169.45,170.45,4818600,170.45
14-12-2004,171.00,178.82,169.60,178.69,11088400,178.69
15-12-2004,177.99,180.69,176.66,179.78,11471000,179.78
16-12-2004,176.95,180.49,175.95,176.47,8572800,176.47
17-12-2004,176.76,180.50,176.55,180.08,7386200,180.08
20-12-2004,182.00,188.46,181.87,185.02,9834500,185.02
21-12-2004,186.31,187.88,183.40,183.75,5516300,183.75
22-12-2004,183.90,186.85,183.01,186.30,3907000,186.30
23-12-2004,187.45,188.60,186.00,187.90,3614600,187.90
27-12-2004,189.15,193.30,189.10,191.91,6104100,191.91
28-12-2004,192.11,193.55,191.01,192.76,4145800,192.76
29-12-2004,191.78,193.52,191.78,192.90,2678100,192.90
30-12-2004,192.97,198.23,191.85,197.60,5904300,197.60
31-12-2004,199.23,199.88,192.56,192.79,7668500,192.79
03-01-2005,197.40,203.64,195.46,202.71,15844200,202.71
04-01-2005,201.40,202.93,193.48,194.50,13755900,194.50
05-01-2005,193.45,196.90,192.23,193.51,8236600,193.51
06-01-2005,195.08,195.90,187.72,188.55,10387100,188.55
07-01-2005,190.64,194.25,188.78,193.85,9662900,193.85
10-01-2005,194.50,198.10,191.83,195.06,7539600,195.06
11-01-2005,195.62,197.71,193.18,193.54,6958700,193.54
12-01-2005,194.33,195.93,190.50,195.38,8177800,195.38
13-01-2005,195.38,197.39,194.05,195.33,6849400,195.33
14-01-2005,196.00,200.01,194.13,199.97,9640300,199.97
18-01-2005,200.97,205.02,198.66,203.90,13172600,203.90
19-01-2005,204.65,205.30,196.71,197.30,11257700,197.30
20-01-2005,192.50,196.25,192.00,193.92,9001600,193.92
21-01-2005,194.54,195.36,188.12,188.28,9258400,188.28
24-01-2005,188.69,189.33,180.32,180.72,14022700,180.72
25-01-2005,181.94,182.24,176.29,177.12,10659200,177.12
26-01-2005,179.27,189.41,179.15,189.24,12307900,189.24
27-01-2005,188.76,188.86,185.20,188.08,6627400,188.08
28-01-2005,190.02,194.70,186.34,190.34,12208200,190.34
31-01-2005,193.69,196.36,191.72,195.62,9596700,195.62
01-02-2005,194.38,196.66,190.63,191.90,18839000,191.90
02-02-2005,215.55,216.80,203.66,205.96,32799300,205.96
03-02-2005,205.99,213.37,205.81,210.86,12988100,210.86
04-02-2005,206.47,207.75,202.60,204.36,14819300,204.36
07-02-2005,205.26,206.40,195.51,196.03,12960400,196.03
08-02-2005,196.96,200.02,194.53,198.64,11480000,198.64
09-02-2005,200.76,201.60,189.46,191.58,17171500,191.58
10-02-2005,191.97,192.21,185.25,187.98,18982700,187.98
11-02-2005,186.66,192.32,186.07,187.40,13116000,187.40
14-02-2005,182.85,193.08,181.00,192.99,38562200,192.99
15-02-2005,193.60,199.84,193.08,195.23,25782800,195.23
16-02-2005,194.70,199.33,194.30,198.41,16532300,198.41
17-02-2005,197.83,199.75,196.81,197.90,10414400,197.90
18-02-2005,198.51,198.84,196.66,197.95,8485900,197.95
22-02-2005,196.50,198.90,190.39,191.37,13483700,191.37
23-02-2005,193.30,194.48,188.66,193.95,15586000,193.95
24-02-2005,183.37,189.85,182.23,188.89,25814300,188.89
25-02-2005,189.15,189.92,185.51,185.87,9973500,185.87
28-02-2005,186.00,189.87,185.85,187.99,7818400,187.99
01-03-2005,189.29,189.75,182.00,186.06,9311200,186.06
02-03-2005,185.95,187.67,184.36,185.18,7285500,185.18
03-03-2005,186.13,187.75,184.31,187.01,7608600,187.01
04-03-2005,186.70,187.25,185.07,185.90,6774100,185.90
07-03-2005,187.78,189.60,187.03,188.81,8667400,188.81
08-03-2005,189.10,189.85,184.97,185.20,8046100,185.20
09-03-2005,184.21,184.65,180.16,181.35,11360400,181.35
10-03-2005,181.01,181.20,177.40,179.98,10960500,179.98
11-03-2005,180.44,180.95,177.15,177.80,8028300,177.80
14-03-2005,178.33,178.40,172.57,174.99,11146600,174.99
15-03-2005,175.30,180.00,174.21,178.61,10422100,178.61
16-03-2005,176.70,178.61,175.01,175.60,7106300,175.60
17-03-2005,177.13,179.64,175.80,179.29,8260600,179.29
18-03-2005,178.81,180.40,178.31,180.04,7090000,180.04
21-03-2005,179.27,182.17,177.25,180.88,7483700,180.88
22-03-2005,181.18,181.94,177.85,178.60,5631700,178.60
23-03-2005,177.97,180.24,177.97,178.98,4845000,178.98
24-03-2005,180.70,180.86,179.20,179.25,3705200,179.25
28-03-2005,181.68,184.80,180.95,181.42,8738000,181.42
29-03-2005,181.05,183.28,178.07,179.57,6473000,179.57
30-03-2005,180.64,181.45,179.60,180.45,6236100,180.45
31-03-2005,177.95,181.39,177.64,180.51,6768600,180.51
01-04-2005,181.76,182.95,179.99,180.04,6182000,180.04
04-04-2005,179.95,185.32,179.84,185.29,8076400,185.29
05-04-2005,187.73,190.26,187.57,188.57,8736700,188.57
06-04-2005,189.24,189.65,187.58,189.22,5252600,189.22
07-04-2005,188.78,194.62,188.64,193.76,9692200,193.76
08-04-2005,193.69,195.10,191.45,192.05,5116600,192.05
11-04-2005,193.09,194.80,192.32,193.23,5410500,193.23
12-04-2005,193.00,194.42,189.41,193.96,7319600,193.96
13-04-2005,193.47,194.32,189.73,192.93,6555800,192.93
14-04-2005,193.27,194.36,190.10,191.45,6152700,191.45
15-04-2005,190.10,190.34,184.66,185.00,11577400,185.00
18-04-2005,184.58,187.88,183.49,186.97,6550300,186.97
19-04-2005,189.33,192.00,188.03,191.40,8430000,191.40
20-04-2005,198.58,200.50,195.91,198.10,15451500,198.10
21-04-2005,200.42,205.00,199.32,204.22,17751900,204.22
22-04-2005,222.90,224.00,214.26,215.81,33205100,215.81
25-04-2005,217.82,224.74,217.52,223.53,19840000,223.53
26-04-2005,220.22,222.00,218.29,218.75,17272000,218.75
27-04-2005,217.99,220.85,216.74,219.78,10264800,219.78
28-04-2005,219.50,222.08,217.71,219.45,8682800,219.45
29-04-2005,221.91,222.25,217.82,220.00,9170200,220.00
